userId,movieId,rating,timestamp,tmdbId
1,1,4.0,2000-07-30 18:45:03,862.0
1,3,4.0,2000-07-30 18:20:47,15602.0
1,6,4.0,2000-07-30 18:37:04,949.0
1,47,5.0,2000-07-30 19:03:35,807.0
1,50,5.0,2000-07-30 18:48:51,629.0
1,70,3.0,2000-07-30 18:40:00,755.0
1,101,5.0,2000-07-30 18:14:28,13685.0
1,110,4.0,2000-07-30 18:36:16,197.0
1,151,5.0,2000-07-30 19:07:21,11780.0
1,157,5.0,2000-07-30 19:08:20,1775.0
1,163,5.0,2000-07-30 19:00:50,8068.0
1,216,5.0,2000-07-30 18:20:08,11017.0
1,223,3.0,2000-07-30 18:16:25,2292.0
1,231,5.0,2000-07-30 18:19:39,8467.0
1,235,4.0,2000-07-30 18:15:08,522.0
1,260,5.0,2000-07-30 18:28:00,11.0
1,296,3.0,2000-07-30 18:49:27,680.0
1,316,3.0,2000-07-30 18:38:30,2164.0
1,333,5.0,2000-07-30 18:19:39,11381.0
1,349,4.0,2000-07-30 18:42:43,9331.0
1,356,4.0,2000-07-30 18:16:02,13.0
1,362,5.0,2000-07-30 18:43:08,10714.0
1,367,4.0,2000-07-30 18:28:30,854.0
1,423,3.0,2000-07-30 18:39:23,178.0
1,441,4.0,2000-07-30 18:14:28,9571.0
1,457,5.0,2000-07-30 18:31:49,5503.0
1,480,4.0,2000-07-30 18:39:06,329.0
1,500,3.0,2000-07-30 18:20:08,788.0
1,527,5.0,2000-07-30 19:06:42,424.0
1,543,4.0,2000-07-30 18:19:39,10442.0
1,552,4.0,2000-07-30 18:44:13,10057.0
1,553,5.0,2000-07-30 19:09:13,11969.0
1,590,4.0,2000-07-30 18:42:26,581.0
1,592,4.0,2000-07-30 18:37:51,268.0
1,593,4.0,2000-07-30 19:03:13,274.0
1,596,5.0,2000-07-30 18:47:18,10895.0
1,608,5.0,2000-07-30 18:48:51,275.0
1,648,3.0,2000-07-30 18:42:43,954.0
1,661,5.0,2000-07-30 18:47:18,10539.0
1,673,3.0,2000-07-30 18:29:35,2300.0
1,733,4.0,2000-07-30 18:40:00,9802.0
1,736,3.0,2000-07-30 18:44:13,664.0
1,780,3.0,2000-07-30 19:08:06,602.0
1,804,4.0,2000-07-30 18:08:19,11363.0
1,919,5.0,2000-07-30 18:41:15,630.0
1,923,5.0,2000-07-30 18:25:29,15.0
1,940,5.0,2000-07-30 18:36:16,10907.0
1,943,4.0,2000-07-30 19:00:14,22292.0
1,954,5.0,2000-07-30 18:53:39,3083.0
1,1009,3.0,2000-07-30 18:29:35,14821.0
1,1023,5.0,2000-07-30 18:44:41,81310.0
1,1024,5.0,2000-07-30 18:47:56,15947.0
1,1025,5.0,2000-07-30 18:46:31,9078.0
1,1029,5.0,2000-07-30 18:47:35,11360.0
1,1030,3.0,2000-07-30 18:48:23,11114.0
1,1031,5.0,2000-07-30 18:44:13,12335.0
1,1032,5.0,2000-07-30 18:46:31,12092.0
1,1042,4.0,2000-07-30 18:19:39,9591.0
1,1049,5.0,2000-07-30 18:40:00,10586.0
1,1060,4.0,2000-07-30 18:15:24,10218.0
1,1073,5.0,2000-07-30 18:28:00,252.0
1,1080,5.0,2000-07-30 18:22:07,583.0
1,1089,5.0,2000-07-30 18:49:11,500.0
1,1090,4.0,2000-07-30 19:06:58,792.0
1,1092,5.0,2000-07-30 18:58:04,402.0
1,1097,5.0,2000-07-30 18:28:00,601.0
1,1127,4.0,2000-07-30 18:41:53,2756.0
1,1136,5.0,2000-07-30 18:22:07,762.0
1,1196,5.0,2000-07-30 18:30:27,1891.0
1,1197,5.0,2000-07-30 18:31:12,2493.0
1,1198,5.0,2000-07-30 18:30:27,85.0
1,1206,5.0,2000-07-30 19:02:17,185.0
1,1208,4.0,2000-07-30 18:54:10,28.0
1,1210,5.0,2000-07-30 18:08:19,1892.0
1,1213,5.0,2000-07-30 18:49:11,769.0
1,1214,4.0,2000-07-30 18:30:55,348.0
1,1219,2.0,2000-07-30 18:56:33,539.0
1,1220,5.0,2000-07-30 18:31:49,525.0
1,1222,5.0,2000-07-30 18:31:49,600.0
1,1224,5.0,2000-07-30 19:06:58,10705.0
1,1226,5.0,2000-07-30 19:00:18,3109.0
1,1240,5.0,2000-07-30 19:02:03,218.0
1,1256,5.0,2000-07-30 18:24:02,3063.0
1,1258,3.0,2000-07-30 18:56:54,694.0
1,1265,4.0,2000-07-30 18:59:59,137.0
1,1270,5.0,2000-07-30 19:01:45,105.0
1,1275,5.0,2000-07-30 18:38:10,8009.0
1,1278,5.0,2000-07-30 18:56:54,3034.0
1,1282,5.0,2000-07-30 18:45:03,756.0
1,1291,5.0,2000-07-30 18:31:49,89.0
1,1298,5.0,2000-07-30 19:08:06,12104.0
1,1348,4.0,2000-07-30 18:56:33,653.0
1,1377,3.0,2000-07-30 18:44:13,364.0
1,1396,3.0,2000-07-30 18:50:17,2322.0
1,1408,3.0,2000-07-30 18:38:30,9361.0
1,1445,3.0,2000-07-30 19:08:32,14908.0
1,1473,4.0,2000-07-30 18:14:35,19952.0
1,1500,4.0,2000-07-30 18:16:25,9434.0
1,1517,5.0,2000-07-30 18:18:27,816.0
1,1552,4.0,2000-07-30 18:43:40,1701.0
1,1573,5.0,2000-07-30 18:38:10,754.0
1,1580,3.0,2000-07-30 18:18:45,607.0
1,1587,5.0,2000-07-30 18:39:06,9387.0
1,1617,5.0,2000-07-30 18:49:11,2118.0
1,1620,4.0,2000-07-30 18:50:56,9437.0
1,1625,5.0,2000-07-30 18:58:24,2649.0
1,1644,3.0,2000-07-30 18:58:56,3597.0
1,1676,3.0,2000-07-30 18:43:40,563.0
1,1732,5.0,2000-07-30 18:18:45,115.0
1,1777,4.0,2000-07-30 18:20:30,11003.0
1,1793,4.0,2000-07-30 18:23:24,6970.0
1,1804,5.0,2000-07-30 18:50:34,42807.0
1,1805,4.0,2000-07-30 18:50:56,617.0
1,1920,4.0,2000-07-30 18:29:40,11551.0
