tmdbId,title,overview,tagline,genres,runtime,release_date,language,vote_average,vote_count,popularity,cast,crew,keywords,poster_path,movieId,imdbId,genre_count,main_genre,avg_ratings,num_ratings,avg_sentiment,num_reviews,smoothed_sentiment
862.0,Toy Story,"Led by Woody, Andy's toy   s live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",The adventure takes off when toys come to life!,"Animation, Adventure, Family, Comedy",81.0,1995-11-22,en,7.97,18958.0,20.9927,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",John Lasseter,"rescue, friendship, mission, jealousy, villain, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, boy next door, new toy, neighborhood, toy comes to life, resourcefulness, toy, pixar",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1,114709,5,Adventure,3.92093023255814,215.0,0.6688999999999999,3.0,0.6120624843265361
15602.0,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Still Yelling. Still Fighting. Still Ready for Love.,"Romance, Comedy",101.0,1995-12-22,en,6.461,399.0,1.2401,"Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah","Howard Deutch, Mark Steven Johnson","fishing, sequel, old man, best friend, wedding, italian restaurant, old friends, duringcreditsstinger, pranks",/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,3,113228,2,Comedy,3.2596153846153846,52.0,0.0,0.0,0.0
11862.0,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",Just when his world is back to normal... he's in for the surprise of his life!,"Comedy, Family",106.0,1995-12-08,en,6.242,757.0,1.669,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern",Charles Shyer,"daughter, baby, parent child relationship, midlife crisis, pregnancy, confidence, aging, sequel, remake, los angeles, california, pregnant woman, contraception, gynecologist, pregnant",/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,5,113041,1,Comedy,3.071428571428572,49.0,0.0,0.0,0.0
31357.0,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",Friends are the people who let you be yourself... and never let you forget it.,"Comedy, Drama, Romance",127.0,1995-12-22,en,6.3,173.0,1.3537,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines",Forest Whitaker,"based on novel or book, single mother, divorce, anxious, friendship between women, cautionary, adoring, celebratory, comforting, african american romance, african american friendship",/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,4,114885,3,Comedy,2.357142857142857,7.0,0.0,0.0,0.0
8844.0,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",Roll the dice and unleash the excitement!,"Adventure, Fantasy, Family",104.0,1995-12-15,en,7.239,10817.0,3.567,"Robin Williams, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Jonathan Hyde",Joe Johnston,"giant insect, board game, disappearance, jungle, recluse, stampede, based on young adult novel, jumanji universe",/p67m5dzwyxWd46a6of2c9IVfQz7.jpg,2,113497,3,Adventure,3.4318181818181817,110.0,0.14895000000000003,2.0,0.45538569637318405
11860.0,Sabrina,"Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.",You are cordially invited to the most surprising merger of the year.,"Romance, Drama, Comedy",127.0,1995-12-15,en,6.213,647.0,2.8697,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood",Sydney Pollack,"chauffeur, sibling relationship, paris, france, transformation, birthday party, family business , long island, new york, playboy, teenage crush, millionaire, marriage engagement, high society, merger, impossible love, family disapproval, scheme, wealth differences, wealthy family, father daughter relationship, brother brother relationship, unlikely romance, romantic",/i8PbLJDPU7vCwwscWD625oHbJy.jpg,7,114319,2,Comedy,3.185185185185185,54.0,0.9857,1.0,0.6459166457687147
949.0,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,A Los Angeles crime saga.,"Crime, Drama, Action",170.0,1995-12-15,en,7.921,7688.0,11.2661,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore","Michael Mann, Michael Mann","robbery, chase, obsession, detective, heist, thief, honor, murder, betrayal, gang, los angeles, california, cat and mouse, bank robbery, criminal mastermind, cynical, ex-con, one last job, loner, bank job, neo-noir, crime epic, tense, antagonistic, audacious, bold",/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,6,113277,3,Action,3.946078431372549,102.0,0.1499,3.0,0.41743748432653605
45325.0,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",A lot of kids get into trouble. These two invented it.,"Family, Action, Adventure, Drama",97.0,1995-12-22,en,5.3,197.0,0.8963,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright",Peter Hewitt,"based on novel or book, mississippi river, male friendship",/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,8,112302,2,Adventure,2.875,8.0,0.92035,2.0,0.6757856963731841
9091.0,Sudden Death,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,Terror goes into overtime.,"Action, Drama, Thriller, Crime",110.0,1995-10-27,en,5.998,750.0,1.5273,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger",Peter Hyams,"explosive, hostage, ice hockey, terrorism, vice president, pittsburgh, pennsylvania, pittsburgh penguins",/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,9,114576,1,Action,3.125,16.0,0.0,0.0,0.0
9087.0,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",Why can't the most powerful man in the world have the one thing he wants most?,"Comedy, Drama, Romance",113.0,1995-11-17,en,6.5,740.0,1.5589,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith","Rob Reiner, Aaron Sorkin","new love, usa president, the white house, class differences, widower, wildlife conservation, lobbyist, romantic",/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,11,112346,3,Comedy,3.6714285714285713,70.0,0.0,0.0,0.0
